s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 1.9900752E+002, 2.1324639E+001, 0.0000000E+000,-8.8827031E+000, 1.6843894E-005,-9.4927746E+000, 0.0000000E+000, 1.3262927E+000, 0.0000000E+000, 4.4119440E+000, 4.2754705E+000, 0.0000000E+000, 5.3182647E-004, 0.0000000E+000, 7.5694109E+003
 2.0000848E+002, 1.9546214E+001, 0.0000000E+000,-8.7363948E+000, 4.1079724E-005,-9.5136258E+000, 0.0000000E+000, 6.0803280E-001, 0.0000000E+000, 1.9589427E+000, 1.9042676E+000, 0.0000000E+000, 5.4397077E-004, 0.0000000E+000, 7.5821390E+003
 2.0100424E+002, 2.2178380E+001, 0.0000000E+000,-9.5812707E+000,-7.4348058E-005,-9.5034109E+000, 0.0000000E+000, 1.3131466E+000, 0.0000000E+000, 4.4607824E+000, 4.4067706E+000, 0.0000000E+000, 5.5589354E-004, 0.0000000E+000, 7.6095743E+003
 2.0200462E+002, 2.0173791E+001, 0.0000000E+000,-8.8566569E+000, 2.2529789E-005,-9.4261121E+000, 0.0000000E+000, 8.5129210E-001, 0.0000000E+000, 2.7978210E+000, 2.7423364E+000, 0.0000000E+000, 5.6764368E-004, 0.0000000E+000, 7.6274309E+003
 2.0300597E+002, 2.2317559E+001, 0.0000000E+000,-9.6133392E+000,-3.0951130E-006,-9.3557786E+000, 0.0000000E+000, 1.4402273E+000, 0.0000000E+000, 4.8719089E+000, 4.7886657E+000, 0.0000000E+000, 5.7536486E-004, 0.0000000E+000, 7.6577756E+003
 2.0400122E+002, 1.9250164E+001, 0.0000000E+000,-8.6343146E+000, 1.1188803E-005,-9.2522059E+000, 0.0000000E+000, 6.2245844E-001, 0.0000000E+000, 2.0074870E+000, 1.9861130E+000, 0.0000000E+000, 5.7917222E-004, 0.0000000E+000, 7.6706728E+003
 2.0500768E+002, 2.3124929E+001, 0.0000000E+000,-9.9285639E+000,-4.0364139E-005,-9.2856830E+000, 0.0000000E+000, 1.6211861E+000, 0.0000000E+000, 5.5392748E+000, 5.5318282E+000, 0.0000000E+000, 5.7870892E-004, 0.0000000E+000, 7.7047837E+003
 2.0600046E+002, 2.5178053E+001, 0.0000000E+000,-1.0095646E+001,-2.1708597E-005,-9.3619994E+000, 0.0000000E+000, 2.3798997E+000, 0.0000000E+000, 8.1520929E+000, 8.1002859E+000, 0.0000000E+000, 5.7412348E-004, 0.0000000E+000, 7.7543521E+003
 2.0700313E+002, 2.9552012E+001, 0.0000000E+000,-1.1599396E+001, 2.5880236E-005,-9.3160668E+000, 0.0000000E+000, 3.5192961E+000, 0.0000000E+000, 1.2134623E+001, 1.2155872E+001, 0.0000000E+000, 5.6999158E-004, 0.0000000E+000, 7.8281523E+003
 2.0800298E+002, 3.2300067E+001, 0.0000000E+000,-1.2204017E+001,-1.0947300E-005,-9.5998496E+000, 0.0000000E+000, 4.2908277E+000, 0.0000000E+000, 1.4885155E+001, 1.4787017E+001, 0.0000000E+000, 5.6628272E-004, 0.0000000E+000, 7.9183001E+003
 2.0901015E+002, 1.6964704E+001, 0.0000000E+000,-8.0251984E+000, 6.7794373E-005,-1.0015395E+001, 0.0000000E+000,-2.5824318E-001, 0.0000000E+000,-1.1448551E+000,-1.3340644E+000, 0.0000000E+000, 5.6606832E-004, 0.0000000E+000, 7.9131746E+003
 2.1000763E+002, 1.6520921E+001, 0.0000000E+000,-8.3238587E+000,-3.9241187E-005,-1.0051604E+001, 0.0000000E+000,-6.6308189E-001, 0.0000000E+000,-2.5095709E+000,-2.5176625E+000, 0.0000000E+000, 5.6924584E-004, 0.0000000E+000, 7.8991043E+003
 2.1100391E+002, 1.7258930E+001, 0.0000000E+000,-8.3407302E+000, 1.1095357E-005,-9.7886724E+000, 0.0000000E+000,-2.4624071E-001, 0.0000000E+000,-1.0382069E+000,-1.1167021E+000, 0.0000000E+000, 5.7310172E-004, 0.0000000E+000, 7.8940140E+003
