s,C,C,1/m,1/m
Time,TC_Ceiling_F1,TC_F1_1_8,EXT_F1_1_8,EXT_DEVC_F1_2_3
 2.7100451E+002, 8.9692629E+001, 4.7292436E+001, 1.6427841E+000, 1.6195806E+000
 2.7200239E+002, 8.8867279E+001, 4.7179930E+001, 1.6381062E+000, 1.6220024E+000
 2.7300349E+002, 9.0051040E+001, 4.7164854E+001, 1.6688232E+000, 1.6387025E+000
 2.7400861E+002, 9.1629387E+001, 4.7354747E+001, 1.6820069E+000, 1.6401934E+000
 2.7500552E+002, 9.2244497E+001, 4.7370542E+001, 1.6572508E+000, 1.6431053E+000
 2.7600140E+002, 9.3299870E+001, 4.7444753E+001, 1.6940496E+000, 1.6579917E+000
 2.7700599E+002, 9.4530769E+001, 4.7595173E+001, 1.7025939E+000, 1.6652344E+000
 2.7800268E+002, 9.6197238E+001, 4.7853730E+001, 1.7140874E+000, 1.6745304E+000
 2.7900090E+002, 9.7027156E+001, 4.8046964E+001, 1.7140314E+000, 1.6776013E+000
 2.8000463E+002, 9.7500558E+001, 4.8175200E+001, 1.7003535E+000, 1.6830549E+000
 2.8100621E+002, 9.9021137E+001, 4.8198862E+001, 1.7204541E+000, 1.6766381E+000
 2.8200889E+002, 9.8945967E+001, 4.7922795E+001, 1.6897345E+000, 1.6761428E+000
 2.8300812E+002, 9.6470692E+001, 4.8020674E+001, 1.7469231E+000, 1.6817352E+000
 2.8400334E+002, 9.5678316E+001, 4.8379260E+001, 1.7591238E+000, 1.6775841E+000
 2.8500146E+002, 9.3876740E+001, 4.8440816E+001, 1.7325910E+000, 1.6982353E+000
 2.8600490E+002, 9.1369673E+001, 4.8021197E+001, 1.7105519E+000, 1.7120222E+000
 2.8700283E+002, 8.9986659E+001, 4.7572203E+001, 1.7020880E+000, 1.7122825E+000
 2.8800211E+002, 8.7580569E+001, 4.7273678E+001, 1.7211700E+000, 1.7256501E+000
 2.8900663E+002, 8.6167943E+001, 4.7430990E+001, 1.7669234E+000, 1.7308096E+000
 2.9000151E+002, 8.6027481E+001, 4.7746453E+001, 1.7709843E+000, 1.7347109E+000
 2.9100044E+002, 8.4870183E+001, 4.7951718E+001, 1.7692129E+000, 1.7257830E+000
 2.9200391E+002, 8.4849292E+001, 4.7901293E+001, 1.7772000E+000, 1.7395631E+000
 2.9300029E+002, 8.5439927E+001, 4.7914879E+001, 1.7756843E+000, 1.7347858E+000
 2.9400895E+002, 8.6418906E+001, 4.7880118E+001, 1.7778981E+000, 1.7303570E+000
 2.9500599E+002, 8.5993525E+001, 4.7565539E+001, 1.7877357E+000, 1.7350595E+000
 2.9600554E+002, 8.4561578E+001, 4.7560744E+001, 1.7864229E+000, 1.7269472E+000
 2.9700173E+002, 8.4345561E+001, 4.7880525E+001, 1.7850205E+000, 1.7223248E+000
 2.9800836E+002, 8.4768995E+001, 4.7729897E+001, 1.7824476E+000, 1.7307246E+000
 2.9900089E+002, 8.4149180E+001, 4.7753170E+001, 1.7993768E+000, 1.7573015E+000
 3.0000504E+002, 8.4355198E+001, 4.7790699E+001, 1.7920362E+000, 1.7566347E+000
 3.0100669E+002, 8.6929085E+001, 4.7824952E+001, 1.7936041E+000, 1.7591005E+000
 3.0200005E+002, 8.6168494E+001, 4.7909326E+001, 1.7983379E+000, 1.7616141E+000
 3.0300765E+002, 8.6838623E+001, 4.7832038E+001, 1.8020144E+000, 1.7685500E+000
 3.0400316E+002, 8.6599621E+001, 4.7824868E+001, 1.7900251E+000, 1.7731226E+000
 3.0500497E+002, 8.6174474E+001, 4.7503713E+001, 1.7839366E+000, 1.7728820E+000
 3.0600603E+002, 8.6072596E+001, 4.7522110E+001, 1.7958844E+000, 1.7746419E+000
 3.0700498E+002, 8.6558025E+001, 4.7464231E+001, 1.7814205E+000, 1.7750394E+000
 3.0800314E+002, 8.6487349E+001, 4.7337269E+001, 1.8033453E+000, 1.7808801E+000
 3.0900062E+002, 8.4803978E+001, 4.7449899E+001, 1.8196741E+000, 1.7914128E+000
 3.1000340E+002, 8.3556770E+001, 4.7508278E+001, 1.8187206E+000, 1.7923493E+000
 3.1100102E+002, 8.4857630E+001, 4.7468078E+001, 1.8195733E+000, 1.7843200E+000
 3.1200556E+002, 8.4492987E+001, 4.7242070E+001, 1.8230586E+000, 1.7839960E+000
 3.1300069E+002, 8.5685346E+001, 4.6880224E+001, 1.8314881E+000, 1.7868145E+000
 3.1400153E+002, 8.5930492E+001, 4.6459706E+001, 1.8215493E+000, 1.7777997E+000
 3.1500970E+002, 8.3697805E+001, 4.6262028E+001, 1.8169622E+000, 1.7857323E+000
 3.1600861E+002, 8.1782967E+001, 4.5949046E+001, 1.8029576E+000, 1.8015915E+000
 3.1700523E+002, 8.0029938E+001, 4.5485227E+001, 1.7982614E+000, 1.8012872E+000
 3.1800387E+002, 7.9424604E+001, 4.5357519E+001, 1.8057428E+000, 1.8046661E+000
 3.1900715E+002, 7.8202398E+001, 4.5470968E+001, 1.8080950E+000, 1.8038177E+000
 3.2000219E+002, 7.6589434E+001, 4.5651871E+001, 1.8123656E+000, 1.7901064E+000
 3.2100497E+002, 7.7469714E+001, 4.5740618E+001, 1.8129501E+000, 1.7838539E+000
 3.2200553E+002, 7.8679329E+001, 4.5685453E+001, 1.8152348E+000, 1.7915649E+000
 3.2300843E+002, 7.7403774E+001, 4.5383012E+001, 1.8040930E+000, 1.7940026E+000
 3.2400856E+002, 7.9983092E+001, 4.5026163E+001, 1.7929230E+000, 1.7907900E+000
 3.2500933E+002, 8.1927849E+001, 4.4978911E+001, 1.7931762E+000, 1.7902085E+000
 3.2600139E+002, 8.3189726E+001, 4.4954796E+001, 1.7867270E+000, 1.7882284E+000
 3.2700860E+002, 8.2068956E+001, 4.4828937E+001, 1.7983160E+000, 1.7901656E+000
 3.2800580E+002, 7.8617334E+001, 4.4705136E+001, 1.7923466E+000, 1.8038925E+000
 3.2901315E+002, 7.6163350E+001, 4.4727918E+001, 1.7973530E+000, 1.8031529E+000
 3.3000878E+002, 7.2872936E+001, 4.4726309E+001, 1.8003022E+000, 1.8022753E+000
 3.3101060E+002, 7.0402727E+001, 4.4731436E+001, 1.8193134E+000, 1.8084474E+000
 3.3201100E+002, 6.9940161E+001, 4.4725629E+001, 1.8265607E+000, 1.8083451E+000
 3.3301432E+002, 6.7953414E+001, 4.4602066E+001, 1.8196176E+000, 1.8117911E+000
 3.3400956E+002, 6.5719012E+001, 4.4336203E+001, 1.7935126E+000, 1.8058791E+000
 3.3500455E+002, 6.4012467E+001, 4.3997643E+001, 1.7996323E+000, 1.8097362E+000
 3.3600082E+002, 6.2085572E+001, 4.3646231E+001, 1.8245548E+000, 1.8167511E+000
 3.3702543E+002, 5.9998197E+001, 4.3270806E+001, 1.8360082E+000, 1.8061770E+000
 3.3800149E+002, 5.7711415E+001, 4.2904263E+001, 1.8360692E+000, 1.7992307E+000
 3.3904149E+002, 5.5359404E+001, 4.2514394E+001, 1.8350013E+000, 1.8052101E+000
 3.4000000E+002, 5.3302519E+001, 4.2198896E+001, 1.8263710E+000, 1.8100475E+000
