Time_s,MLR_kg_s,HRR_kW,HRRPUA_kW_m2,F_normalized
0.0,0.00016298601398600718,6.444466993006724,286.4207552447433,0.25684578636774075
1.0,0.00015066713286712908,5.957378433566284,264.7723748251682,0.23743275434880567
2.0,0.00014522820512820374,5.742323230769176,255.21436581196338,0.22886167737147967
3.0,0.00014666923076923116,5.7993013846154,257.7467282051289,0.23113255543576278
4.0,0.00015499020979021133,6.128312895104956,272.3694620046647,0.24424538854165498
5.0,0.00017019114219114475,6.729357762237863,299.0825672105717,0.2682001766891571
6.0,0.00020187529137529397,7.982149020979124,354.7621787101833,0.31813047447099185
7.0,0.00023767482517482653,9.397662587412642,417.6738927738952,0.37454610907341157
8.0,0.0002683834498834506,10.611881608391638,471.6391825951839,0.42293910101587073
9.0,0.00028957109557109734,11.449641118881189,508.8729386169418,0.4563282083683084
10.0,0.0003004860139860139,11.881216993006989,528.0540885780885,0.47352876892474766
11.0,0.00029937645687645547,11.83734510489505,526.1042268842244,0.4717802442424463
12.0,0.00028595804195804224,11.30678097902099,502.5235990675996,0.4506344830372894
13.0,0.0002750745920745921,10.876449370629372,483.39774980574987,0.43348351299179433
14.0,0.0002761130536130552,10.917510139860203,485.22267288267574,0.43511999985306643
15.0,0.00028345571095571466,11.207838811188958,498.12616938617595,0.44669111907416814
16.0,0.0002956351981352014,11.689415734265864,519.529588189594,0.46588448349646555
17.0,0.00030799417249417456,12.178089580419662,541.2484257964295,0.4853606974997218
18.0,0.0003163006993007006,12.506529650349702,555.8457622377646,0.49845075570428693
19.0,0.00032127855477855457,12.703354055944047,564.5935135975133,0.5062952398619529
20.0,0.00032614102564102376,12.89561615384608,573.1384957264925,0.5139578921461443
21.0,0.00033190093240093136,13.123362867132826,583.26057187257,0.5230347923351405
22.0,0.00033997902097902144,13.442770489510508,597.456466200467,0.5357648601639418
23.0,0.00035182517482517533,13.911167412587433,618.2741072261082,0.5544329325073138
24.0,0.0003636946386946394,14.380486013986042,639.132711732713,0.5731377385624992
25.0,0.0003725990675990696,14.732567132867212,654.780761460765,0.5871700164750713
26.0,0.0003785442890442914,14.967641188811282,665.2284972805014,0.5965389496729802
27.0,0.0003801503496503519,15.031144825174914,668.0508811188851,0.5990699024168964
28.0,0.00037778205128205283,14.93750230769237,663.8889914529942,0.5953377572966935
29.0,0.00037272843822843885,14.737682447552473,655.00810878011,0.5873738885756313
30.0,0.00036527156177156245,14.44283755244758,641.9038912198924,0.5756227741666493
31.0,0.00035658857808857855,14.099512377622396,626.6449945609954,0.5619394665163024
32.0,0.0003491025641025637,13.80351538461537,613.489572649572,0.5501424349675528
33.0,0.00034346620046619915,13.580653566433515,603.5846029526007,0.5412602234511653
34.0,0.0003385722610722604,13.387147202797177,594.984320124319,0.5335479806560248
35.0,0.00033607808857808895,13.288527622377638,590.6012276612283,0.5296174734920343
36.0,0.0003358822843822847,13.280785524475538,590.2571344211351,0.529308910312805
37.0,0.0003347867132867152,13.237466643356719,588.3318508158542,0.527582425857596
38.0,0.0003324522144522164,13.145160559440637,584.2293581973616,0.5239035446195229
39.0,0.0003300862470862481,13.05161020979025,580.0715648795666,0.5201750728705009
40.0,0.00032782284382284566,12.962115244755317,576.0940108780142,0.516608229453459
41.0,0.0003260979020979032,12.893911048951091,573.0627132867152,0.5138899347792949
42.0,0.0003254871794871792,12.869763076923066,571.9894700854696,0.5129275115297919
43.0,0.0003275093240093258,12.949718671328743,575.5430520590553,0.5161141610295739
44.0,0.0003335046620046659,13.18677433566449,586.0788593628662,0.5255620717078834
45.0,0.00034296969696969923,13.561021818181908,602.7120808080848,0.5404777953895539
46.0,0.00035193939393939424,13.915683636363648,618.4748282828288,0.5546129276951972
47.0,0.00035725641025641166,14.125918461538516,627.8185982906008,0.5629918873597467
48.0,0.0003618356643356663,14.306982167832246,635.8658741258776,0.5702082250454135
49.0,0.00036684032634032657,14.504866503496512,644.6607334887339,0.5780949529716641
50.0,0.00036864452214452207,14.576204405594403,647.8313069153069,0.5809381422659907
51.0,0.0003674592074592074,14.529337062937062,645.7483139083139,0.5790702330202993
52.0,0.0003654545454545463,14.450072727272762,642.225454545456,0.5759111338043816
53.0,0.00036329487179487436,14.364679230769333,638.4301880341926,0.572507755404909
54.0,0.0003599720279720291,14.233293986014031,632.5908438228458,0.567271364785962
55.0,0.00035589976689976663,14.072276783216772,625.4345236985232,0.5608539853322269
56.0,0.0003537389277389274,13.986837202797188,621.6372090132083,0.5574487702471606
57.0,0.0003524568764568765,13.936144895104896,619.3842175602176,0.5554284160974456
58.0,0.0003518659673659676,13.912780349650358,618.3457933177937,0.5544972165029861
59.0,0.0003512808857808853,13.889646223776206,617.3176099456092,0.5535752003364786
60.0,0.0003477960372960385,13.751855314685361,611.1935695415716,0.548083510420436
61.0,0.0003444883449883492,13.621069160839328,605.380851592859,0.5428709967141746
62.0,0.00034453379953380456,13.622866433566632,605.4607303807392,0.5429426274522111
63.0,0.0003443205128205155,13.614433076923182,605.0859145299193,0.5426065139891185
64.0,0.00034168881118881256,13.510375594405648,600.4611375291399,0.5384592779254275
65.0,0.0003406212121212142,13.468162727272809,598.5850101010137,0.5367768739243927
66.0,0.0003428613053613064,13.556736013986056,602.5216006216025,0.5403069836296215
67.0,0.0003455186480186476,13.661807342657326,607.1914374514367,0.5444946267763023
68.0,0.00034728904428904376,13.73180881118879,610.3026138306129,0.5472845521885004
69.0,0.00035011538461538426,13.843562307692293,615.2694358974353,0.5517385147458281
70.0,0.00035501864801864896,14.03743734265738,623.8861041181058,0.5594654510256969
71.0,0.00035973892773892937,14.224077202797268,632.181209013212,0.5669040276678328
72.0,0.0003640909090909099,14.396154545454577,639.8290909090923,0.5737622116633204
73.0,0.0003657004662004667,14.459796433566453,642.6576192696201,0.5762986744640083
74.0,0.00036566550116550194,14.458413916083947,642.5961740481754,0.5762435738962892
75.0,0.00036844638694638837,14.568370139860196,647.4831173271199,0.5806259057155825
76.0,0.0003719836829836839,14.708234825174863,653.6993255633273,0.5862002464832061
77.0,0.00037564568764568765,14.85303048951049,660.1346884226884,0.5919711126090286
78.0,0.0003795745920745923,15.00837937062938,667.0390831390836,0.5981625797351119
79.0,0.00038335780885780937,15.157967762237782,673.687456099457,0.6041244611623638
80.0,0.00038681002331002434,15.294468321678362,679.7541476301494,0.6095647238818716
81.0,0.00038822144522144674,15.350275944056005,682.2344864024891,0.6117889501321502
82.0,0.0003877785547785569,15.33276405594414,681.456180264184,0.6110910096077039
83.0,0.0003856538461538496,15.248753076923213,677.7223589743651,0.6077427317759501
84.0,0.0003833181818181846,15.156400909091019,673.617818181823,0.6040620138522853
85.0,0.00038053146853147017,15.04621426573433,668.7206340326369,0.5996704986050382
86.0,0.00037675291375291453,14.89681020979024,662.0804537684552,0.5937159639201478
87.0,0.00037494289044289007,14.825241888111874,658.8996394716389,0.5908635911978658
88.0,0.00037480769230769165,14.819896153846127,658.6620512820501,0.5906505356693498
89.0,0.00037481002331002275,14.819988321678299,658.6661476301466,0.5906542090405312
90.0,0.0003768916083916074,14.902294195804156,662.3241864801847,0.5939345295054324
91.0,0.0003808682983682981,15.059532517482506,669.3125563325558,0.6002013007407331
92.0,0.00038384032634032736,15.177046503496543,674.5354001554019,0.604884848996894
93.0,0.00038465967365967533,15.209443496503562,675.9752665112694,0.6061760389671224
94.0,0.0003844778554778572,15.202254405594473,675.6557513597544,0.605889516014981
95.0,0.0003838578088578106,15.177737762237832,674.5661227661259,0.604912399280755
96.0,0.00038298951048951224,15.143405244755314,673.0402331002363,0.6035440685157204
97.0,0.00038338228438228615,15.158935524475595,673.730467754471,0.6041630315597697
98.0,0.00038504895104895273,15.22483552447559,676.6593566433596,0.6067894919543997
99.0,0.0003876247086247099,15.32668097902103,681.1858212898236,0.6108485671097368
100.0,0.00039133799533799633,15.473504335664375,687.7113038073055,0.6167002474015488
101.0,0.0003945337995338011,15.599866433566497,693.3273970473999,0.6217364392911137
102.0,0.0003953962703962719,15.633968531468591,694.8430458430486,0.6230955866281949
103.0,0.00039543123543123637,15.635351048951087,694.9044910644927,0.6231506871959135
104.0,0.00039492657342657503,15.615396713286776,694.0176317016345,0.6223554023351627
105.0,0.0003921270396270406,15.504703146853187,689.0979176379194,0.6179436835464193
106.0,0.00038645920745920847,15.280597062937103,679.137647241649,0.6090118815190857
107.0,0.00037820745920746045,14.954322937062987,664.6365749805772,0.5960081475372804
108.0,0.00036930536130536134,14.602333986013987,648.9926216006216,0.5819795429958897
109.0,0.00036235547785547814,14.327535594405605,636.7793597513603,0.571027386818841
110.0,0.0003578589743589753,14.149743846153884,628.877504273506,0.5639414538101124
111.0,0.00035636829836829906,14.090802517482546,626.257889665891,0.5615923329396699
112.0,0.00035813403263403336,14.160619650349679,629.3608733488746,0.5643749116095055
113.0,0.0003625582750582767,14.33555419580426,637.1357420357449,0.5713469701116163
114.0,0.00036694055944056213,14.508829720279827,644.8368764568812,0.578252907932464
115.0,0.0003707319347319367,14.658740699300777,651.4995866355902,0.584227646158849
116.0,0.0003757785547785571,14.858284055944146,660.3681802641843,0.5921804947663662
117.0,0.00038020396270396436,15.033264685314752,668.1450971251,0.5991543899540653
118.0,0.00038475058275058255,15.213038041958034,676.1350240870238,0.6063193004431903
119.0,0.0003918811188811193,15.494979440559458,688.6657529137537,0.6175561428867912
120.0,0.000399705128205129,15.804340769230802,702.4151452991467,0.6298858132568287
121.0,0.0004080279720279727,16.13342601398604,717.0411561771573,0.6430015850596639
122.0,0.00041741142191142254,16.504447622377647,733.5310054390065,0.6577887407499913
123.0,0.00042580769230769343,16.836436153846197,748.2860512820532,0.6710202237450384
124.0,0.00043129836829836976,17.05353748251754,757.9349992230018,0.6796728495625937
125.0,0.0004337762237762245,17.15151188811192,762.2894172494186,0.6835776431283156
126.0,0.0004345361305361308,17.181558601398613,763.6248267288273,0.684775162133419
127.0,0.00043432517482517403,17.17321741258738,763.2541072261058,0.6844427220415096
128.0,0.0004351946386946384,17.207596013986002,764.7820450660446,0.6858128894921357
129.0,0.0004378076923076937,17.31091615384621,769.3740512820539,0.6899307385863769
130.0,0.00043974009324009505,17.387323286713357,772.769923853927,0.692975963295676
131.0,0.0004400850815850833,17.400964125874193,773.3761833721863,0.6935196222305083
132.0,0.0004401724941724957,17.40442041958048,773.5297964257991,0.6936573736498068
133.0,0.00043950000000000147,17.377830000000056,772.3480000000026,0.6925976060640014
134.0,0.00043464219114219295,17.18575223776231,763.8112105672137,0.6849423005221705
135.0,0.00042776806526806626,16.91394930069934,751.7310800310818,0.6741095289085125
136.0,0.00042358974358974407,16.74873846153848,744.3883760683769,0.6675250110660296
137.0,0.00042389393939394073,16.760766363636417,744.9229494949519,0.6680043860051907
138.0,0.0004300151515151541,17.002799090909193,755.6799595959642,0.6776506587272892
139.0,0.0004395372960372986,17.379304685314786,772.413541569546,0.692656380002904
140.0,0.00044843822843822976,17.731247552447606,788.0554467754491,0.7066831478587001
141.0,0.0004544393939393951,17.96853363636368,798.6014949494969,0.7161402419649594
142.0,0.0004581864801864819,18.116693426573494,805.1863745143776,0.7220451861389019
143.0,0.00045900932400932574,18.14922867132874,806.6323853923884,0.7233418861659011
144.0,0.0004568717948717964,18.064710769230828,802.8760341880368,0.7199734047926476
145.0,0.00045615151515151565,18.03623090909093,801.6102626262635,0.7188383330976241
146.0,0.0004580104895104904,18.10973475524479,804.8771002331018,0.7217678466147123
147.0,0.00046286596736596925,18.301720349650424,813.4097933177966,0.729419478785364
148.0,0.0004707622377622396,18.613938881118955,827.2861724941758,0.7418630236620213
149.0,0.0004807016317016332,19.006942517482578,844.7530007770035,0.7575262783790885
150.0,0.0004914009324009328,19.429992867132885,863.5552385392393,0.7743870521012586
151.0,0.0005018741258741268,19.844102937062974,881.9601305361322,0.7908915088188451
152.0,0.0005111538461538481,20.211023076923155,898.2676923076958,0.8055151994916062
153.0,0.0005164102564102584,20.418861538461616,907.5049572649608,0.8137986515054402
154.0,0.0005210501165501178,20.602321608391655,915.6587381507403,0.8211104968418187
155.0,0.0005281212121212128,20.881912727272756,928.0850101010114,0.8322536683202947
156.0,0.0005355466200466212,21.1755133566434,941.1339269619289,0.8439551922183297
157.0,0.0005411596736596745,21.39745349650353,950.9979331779347,0.8528006700229024
158.0,0.0005450559440559454,21.55151202797208,957.8449790209814,0.8589407099524479
159.0,0.0005474044289044309,21.644371118881196,961.9720497280532,0.8626416314176096
160.0,0.0005464055944055961,21.60487720279727,960.2167645687675,0.8610675918664217
161.0,0.0005439627039627065,21.508285314685416,955.9237917637963,0.8572178988684196
162.0,0.0005398857808857837,21.347083776223887,948.7592789432839,0.8507931726723245
163.0,0.0005342319347319362,21.12353069930076,938.8235866355893,0.8418834108720766
164.0,0.0005317331002331013,21.024726783216824,934.4323014763033,0.8379455569657212
165.0,0.0005318111888111896,21.027814405594437,934.5695291375306,0.8380686149002944
166.0,0.0005310069930069929,20.9960165034965,933.1562890442889,0.836801301842744
167.0,0.000527784382284382,20.868594475524464,927.4930878010873,0.8317228661845951
168.0,0.000524407925407926,20.735089370629396,921.5595275835287,0.826401988028482
169.0,0.0005190582750582762,20.52356419580424,912.1584087024107,0.8179716011673969
170.0,0.0005103578088578101,20.17954776223781,896.8687894327916,0.8042607432331907
171.0,0.0005036270396270412,19.91341314685321,885.0405843045871,0.7936538839471845
172.0,0.0005021713286713302,19.855854335664397,882.4824149184177,0.791359863644462
173.0,0.0005064382284382293,20.024567552447586,889.9807801087816,0.7980839695918324
174.0,0.0005145920745920767,20.346970629370713,904.3098057498095,0.8109334219840255
175.0,0.0005254848484848514,20.777670909091025,923.4520404040456,0.8280990855142467
176.0,0.0005365710955710974,21.21602111888119,942.9342719502752,0.8455696388525128
177.0,0.0005451794871794895,21.556396923077013,958.0620854700895,0.8591353986250583
178.0,0.0005506305361305388,21.771931398601506,967.6413954934003,0.8677255771325315
179.0,0.0005508496503496519,21.780595174825237,968.026452214455,0.8680708740235721
180.0,0.0005475104895104909,21.64856475524481,962.158433566436,0.8628087698063579
181.0,0.0005445303030303043,21.530728181818233,956.9212525252549,0.8581123647510644
182.0,0.0005444393939393951,21.527133636363683,956.7614949494971,0.8579691032749935
183.0,0.0005466421911421927,21.6142322377623,960.6325439005468,0.8614404390413237
184.0,0.0005493216783216803,21.720179160839237,965.3412960372995,0.8656629792142297
185.0,0.0005531456876456894,21.87138048951056,972.0613550893582,0.8716891446371539
186.0,0.0005543962703962712,21.920828531468562,974.2590458430473,0.8736599082759203
187.0,0.0005512191142191151,21.79520377622381,968.6757233877249,0.8686531033558071
188.0,0.00054621794871795,21.597457692307742,959.8870085470109,0.8607718854863263
189.0,0.0005409778554778567,21.390264405594454,950.6784180264202,0.8525141470707615
190.0,0.0005361270396270423,21.19846314685325,942.1539176379223,0.8448698616424762
191.0,0.0005313461538461562,21.00942692307702,933.752307692312,0.8373357773496274
192.0,0.0005281678321678343,20.883756083916168,928.1669370629409,0.8323271357439229
193.0,0.0005265710955710984,20.82062111888123,925.3609386169436,0.8298108764847328
194.0,0.0005246864801864824,20.746103426573512,922.049041181045,0.8268409558846499
195.0,0.0005227575757575771,20.6698345454546,918.6593131313156,0.823801241232122
196.0,0.0005203846153846162,20.576007692307726,914.4892307692323,0.8200617493695567
197.0,0.0005196981351981355,20.548864265734277,913.2828562548568,0.8189799415566626
198.0,0.0005256701631701633,20.784998251748256,923.7777000777003,0.8283911185231556
199.0,0.0005371701631701639,21.23970825174828,943.9870334110346,0.8465136952461053
200.0,0.000549867132867135,21.74174643356652,966.2998414918453,0.8665225480706545
201.0,0.0005622599067599092,22.23175671328681,988.0780761460804,0.886052025956042
202.0,0.0005734254079254096,22.673240629370696,1007.6995835275865,0.903647473914473
203.0,0.0005799708624708642,22.93204790209797,1019.2021289821321,0.9139623001915664
204.0,0.0005810407925407947,22.974352937063024,1021.0823527583567,0.9156483775637844
205.0,0.0005781037296037312,22.858221468531532,1015.920954156957,0.9110199298753441
206.0,0.0005718706293706311,22.611764685314753,1004.9673193473224,0.9011973353365452
207.0,0.000566085081585083,22.383004125874184,994.800183372186,0.8920800280645556
208.0,0.0005644510489510495,22.318394475524496,991.9286433566443,0.8895049948664621
209.0,0.0005666153846153856,22.403972307692346,995.7321025641043,0.8929157200083008
210.0,0.0005707890442890464,22.568998811188894,1003.0666138306176,0.8994928911084221
