,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
   32000,2026-08-08T16:37:19.227+02:00, 0.917E-02, 302.81325, 0.15904E+05
   32100,2026-08-08T16:38:14.114+02:00, 0.851E-02, 303.63012, 0.15958E+05
   32200,2026-08-08T16:39:10.165+02:00, 0.878E-02, 304.50654, 0.16013E+05
   32300,2026-08-08T16:40:04.567+02:00, 0.965E-02, 305.42969, 0.16067E+05
   32400,2026-08-08T16:41:00.109+02:00, 0.879E-02, 306.34004, 0.16121E+05
   32500,2026-08-08T16:41:54.593+02:00, 0.100E-01, 307.34173, 0.16175E+05
   32600,2026-08-08T16:42:49.841+02:00, 0.874E-02, 308.30151, 0.16230E+05
   32700,2026-08-08T16:43:44.926+02:00, 0.939E-02, 309.23611, 0.16284E+05
   32800,2026-08-08T16:44:40.181+02:00, 0.911E-02, 310.12186, 0.16339E+05
   32900,2026-08-08T16:45:35.410+02:00, 0.954E-02, 311.03917, 0.16395E+05
   33000,2026-08-08T16:46:30.435+02:00, 0.102E-01, 312.02597, 0.16449E+05
   33100,2026-08-08T16:47:27.836+02:00, 0.106E-01, 312.93706, 0.16506E+05
   33200,2026-08-08T16:48:22.416+02:00, 0.109E-01, 313.92391, 0.16561E+05
   33300,2026-08-08T16:49:14.381+02:00, 0.108E-01, 314.99885, 0.16612E+05
   33400,2026-08-08T16:50:05.229+02:00, 0.115E-01, 316.05467, 0.16663E+05
   33500,2026-08-08T16:50:56.971+02:00, 0.107E-01, 317.11210, 0.16715E+05
   33600,2026-08-08T16:51:49.146+02:00, 0.106E-01, 318.15195, 0.16767E+05
   33700,2026-08-08T16:52:41.565+02:00, 0.102E-01, 319.16086, 0.16819E+05
   33800,2026-08-08T16:53:33.317+02:00, 0.876E-02, 320.07231, 0.16871E+05
   33900,2026-08-08T16:54:24.747+02:00, 0.103E-01, 321.05655, 0.16922E+05
   34000,2026-08-08T16:55:16.287+02:00, 0.985E-02, 322.07445, 0.16973E+05
   34100,2026-08-08T16:56:08.391+02:00, 0.945E-02, 323.00843, 0.17025E+05
   34200,2026-08-08T16:56:59.704+02:00, 0.101E-01, 323.95823, 0.17076E+05
   34300,2026-08-08T16:57:51.833+02:00, 0.104E-01, 324.91541, 0.17128E+05
   34400,2026-08-08T16:58:43.529+02:00, 0.117E-01, 325.93097, 0.17180E+05
   34500,2026-08-08T16:59:35.360+02:00, 0.123E-01, 327.10677, 0.17231E+05
   34600,2026-08-08T17:00:26.549+02:00, 0.106E-01, 328.27189, 0.17282E+05
   34700,2026-08-08T17:01:17.574+02:00, 0.129E-01, 329.49566, 0.17333E+05
   34800,2026-08-08T17:02:09.501+02:00, 0.116E-01, 330.70100, 0.17385E+05
   34900,2026-08-08T17:03:00.464+02:00, 0.130E-01, 332.01100, 0.17435E+05
   35000,2026-08-08T17:03:51.375+02:00, 0.137E-01, 333.45518, 0.17486E+05
   35100,2026-08-08T17:04:42.618+02:00, 0.163E-01, 335.02086, 0.17537E+05
   35200,2026-08-08T17:05:33.532+02:00, 0.257E-01, 336.94838, 0.17588E+05
   35281,2026-08-08T17:06:14.171+02:00, 0.864E-02, 340.00000, 0.17628E+05
