s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 2.1008879E+001, 5.7327960E+001, 4.3672181E+001, 1.3217383E+001, 4.5715750E-002, 3.9134503E-001, 6.9066716E-005, 2.1333033E-004, 0.0000000E+000, 0.0000000E+000, 1.0535645E-003, 5.7264277E+001, 1.0535645E-003, 6.2629431E-002
 2.2009552E+001, 5.7328285E+001, 4.3672174E+001, 1.3216416E+001, 4.6561552E-002, 3.9173640E-001, 7.4001318E-005, 2.2857212E-004, 0.0000000E+000, 0.0000000E+000, 1.0951650E-003, 5.7260086E+001, 1.0951650E-003, 6.7104109E-002
 2.3008776E+001, 5.7328624E+001, 4.3672173E+001, 1.3215216E+001, 4.7611674E-002, 3.9222237E-001, 8.0127939E-005, 2.4749576E-004, 0.0000000E+000, 0.0000000E+000, 1.0733585E-003, 5.7254891E+001, 1.0733585E-003, 7.2659705E-002
 2.4006592E+001, 5.7328975E+001, 4.3672172E+001, 1.3214121E+001, 4.8571312E-002, 3.9266647E-001, 8.5726660E-005, 2.6478885E-004, 0.0000000E+000, 0.0000000E+000, 1.0936594E-003, 5.7250144E+001, 1.0936594E-003, 7.7736604E-002
 2.5004408E+001, 5.7329316E+001, 4.3672156E+001, 1.3212969E+001, 4.9575839E-002, 3.9313121E-001, 9.1587341E-005, 2.8289108E-004, 0.0000000E+000, 0.0000000E+000, 1.1093086E-003, 5.7245156E+001, 1.1093086E-003, 8.3051046E-002
 2.6008987E+001, 5.7329691E+001, 4.3672158E+001, 1.3211703E+001, 5.0686394E-002, 3.9364518E-001, 9.8066518E-005, 3.0290368E-004, 0.0000000E+000, 0.0000000E+000, 1.0974664E-003, 5.7239667E+001, 1.0974664E-003, 8.8926340E-002
 2.7009771E+001, 5.7330062E+001, 4.3672153E+001, 1.3210232E+001, 5.1973057E-002, 3.9424058E-001, 1.0557318E-004, 3.2608995E-004, 0.0000000E+000, 0.0000000E+000, 1.0316311E-003, 5.7233297E+001, 1.0316311E-003, 9.5733356E-002
 2.8007122E+001, 5.7330426E+001, 4.3672143E+001, 1.3208715E+001, 5.3299624E-002, 3.9485441E-001, 1.1331268E-004, 3.4999537E-004, 0.0000000E+000, 0.0000000E+000, 9.5141465E-004, 5.7226723E+001, 9.5141465E-004, 1.0275150E-001
 2.9003592E+001, 5.7330793E+001, 4.3672136E+001, 1.3207231E+001, 5.4598168E-002, 3.9545530E-001, 1.2088867E-004, 3.7339577E-004, 0.0000000E+000, 0.0000000E+000, 8.7899182E-004, 5.7220293E+001, 8.7899182E-004, 1.0962138E-001
 3.0008276E+001, 5.7331151E+001, 4.3672125E+001, 1.3205944E+001, 5.5722857E-002, 3.9597570E-001, 1.2745037E-004, 3.9366328E-004, 0.0000000E+000, 0.0000000E+000, 8.6259894E-004, 5.7214717E+001, 8.6259894E-004, 1.1557150E-001
